Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.423  (± 0.0%) i/s -     22.000  in   5.005526s
==================================
  Mode: wall(10)
  Samples: 214187 (2.33% miss rate)
  GC: 539 (0.25%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
         1   (0.0%)           1   (0.0%)     GraphQL::Language::Printer#print_node
         1   (0.0%)           1   (0.0%)     GraphQL::TypeKinds::TypeKind#scalar?
         2   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#find_conflicts_within
         2   (0.0%)           1   (0.0%)     Enumerable#partition
         3   (0.0%)           1   (0.0%)     GraphQL::Schema.possible_types
         2   (0.0%)           1   (0.0%)     Array#none?
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::ValidationContext#dependencies
         1   (0.0%)           1   (0.0%)     GraphQL::Analysis::AST.analysis_errors
    105883  (49.4%)           1   (0.0%)     GraphQL::Execution::Multiplex.begin_query
    105881  (49.4%)           1   (0.0%)     GraphQL::Execution::Interpreter.begin_query
         1   (0.0%)           1   (0.0%)     GraphQL::Query#selected_operation
    105876  (49.4%)           1   (0.0%)     GraphQL::Execution::Interpreter::Runtime#run_eager
         1   (0.0%)           1   (0.0%)     GraphQL::Schema.get_type
         1   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#visible?
         1   (0.0%)           1   (0.0%)     GraphQL::Query::NullContext.instance
         1   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#description
        15   (0.0%)           1   (0.0%)     JSON.generate
         1   (0.0%)           1   (0.0%)     GraphQL::Schema::List#graphql_name
         1   (0.0%)           1   (0.0%)     GraphQL::Execution::Interpreter::Arguments#[]
         1   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::CachedGraphQLDefinition#type_class
        14   (0.0%)           1   (0.0%)     GraphQL::Introspection::EnumValueType#is_deprecated
         1   (0.0%)           1   (0.0%)     JSON::Ext::Generator::State#initialize
         1   (0.0%)           1   (0.0%)     GraphQL::Schema.own_directives
         1   (0.0%)           1   (0.0%)     String#==
         1   (0.0%)           1   (0.0%)     Hash#delete
         1   (0.0%)           1   (0.0%)     GraphQL::Execution::Interpreter.finish_query
         8   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#dependency_map
         1   (0.0%)           0   (0.0%)     GraphQL::Language::Printer#print
         1   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::ArgumentsAreDefined#parent_definition
       193   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#on_fragment_definition
       193   (0.1%)           0   (0.0%)     GraphQL::Language::Visitor#on_fragment_definition
         2   (0.0%)           0   (0.0%)     GraphQL::Language::Nodes::AbstractNode#to_query_string
       201   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::FragmentTypesExist#on_fragment_definition
       203   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::FragmentNamesAreUnique#on_fragment_definition
         2   (0.0%)           0   (0.0%)     GraphQL::Schema.error_bubbling
         2   (0.0%)           0   (0.0%)     GraphQL::Schema::Scalar.validate_non_null_input
         1   (0.0%)           0   (0.0%)     GraphQL::Query#result
         7   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::LiteralValidator#recursively_validate
         8   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::ValidationContext#validate_literal
         3   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::VariableUsagesAreAllowed#on_argument
         2   (0.0%)           0   (0.0%)     GraphQL::Language::Visitor#on_argument
        22   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::ArgumentsAreDefined#on_argument
         9   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#on_fragment_spread
         1   (0.0%)           0   (0.0%)     BasicObject#!=
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::BaseVisitor#path
         2   (0.0%)           0   (0.0%)     GraphQL::Schema.references_to
       247   (0.1%)           0   (0.0%)     GraphQL::Language::Visitor#on_field
       137   (0.1%)           0   (0.0%)     GraphQL::Language::Visitor#on_operation_definition
       138   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::SubscriptionRootExists#on_operation_definition
       138   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#on_operation_definition
       139   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::MutationRootExists#on_operation_definition
       139   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::QueryRootExists#on_operation_definition
       141   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::VariableNamesAreUnique#on_operation_definition
       141   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#on_operation_definition
       143   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::FieldsHaveAppropriateSelections#on_operation_definition
         4   (0.0%)           0   (0.0%)     GraphQL::Schema::Warden#field_on_visible_interface?
         1   (0.0%)           0   (0.0%)     GraphQL::Execution::Interpreter::ArgumentsCache#initialize
         4   (0.0%)           0   (0.0%)     GraphQL::Schema::Warden#unfiltered_interfaces
       131   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#setting_errors
       153   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#on_operation_definition
       362   (0.2%)           0   (0.0%)     GraphQL::Language::Visitor#on_document
       400   (0.2%)           0   (0.0%)     GraphQL::StaticValidation::NoDefinitionsArePresent#on_document
       400   (0.2%)           0   (0.0%)     GraphQL::StaticValidation::OperationNamesAreValid#on_document
       400   (0.2%)           0   (0.0%)     GraphQL::StaticValidation::FragmentNamesAreUnique#on_document
       399   (0.2%)           0   (0.0%)     GraphQL::StaticValidation::FragmentsAreFinite#on_document
       399   (0.2%)           0   (0.0%)     GraphQL::StaticValidation::FragmentsAreUsed#on_document
       404   (0.2%)           0   (0.0%)     Timeout.timeout
       404   (0.2%)           0   (0.0%)     Kernel#catch
        10   (0.0%)           0   (0.0%)     GraphQL::Schema::Warden#directives
         1   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::OperationNamesAreValid#initialize
         1   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::FragmentSpreadsArePossible#initialize
         1   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#initialize
         8   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::NoDefinitionsArePresent#initialize
        11   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::ValidationContext#initialize
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::LiteralValidator#initialize
         1   (0.0%)           0   (0.0%)     GraphQL::Schema.using_ast_analysis?
         1   (0.0%)           0   (0.0%)     GraphQL::Schema.validate_max_errors
       422   (0.2%)           0   (0.0%)     GraphQL::Query::ValidationPipeline#valid?
       422   (0.2%)           0   (0.0%)     GraphQL::Query::ValidationPipeline#ensure_has_validated
         1   (0.0%)           0   (0.0%)     GraphQL::Schema.static_validator
         1   (0.0%)           0   (0.0%)     GraphQL::Language::Parser#_reduce_2
         4   (0.0%)           0   (0.0%)     GraphQL::Language::Parser#_reduce_108
         3   (0.0%)           0   (0.0%)     GraphQL::Language::Parser#_reduce_25
         2   (0.0%)           0   (0.0%)     GraphQL::Language::Parser#_reduce_10
         3   (0.0%)           0   (0.0%)     GraphQL::Language::Parser#_reduce_70
       161   (0.1%)           0   (0.0%)     Racc::Parser#do_parse
       356   (0.2%)           0   (0.0%)     GraphQL.scan_with_ragel
       356   (0.2%)           0   (0.0%)     GraphQL::Language::Lexer.tokenize
       519   (0.2%)           0   (0.0%)     GraphQL::Language::Parser#parse_document
       521   (0.2%)           0   (0.0%)     GraphQL.parse
       521   (0.2%)           0   (0.0%)     GraphQL.parse_with_racc
       521   (0.2%)           0   (0.0%)     GraphQL::Language::Parser.parse
       946   (0.4%)           0   (0.0%)     GraphQL::Query#valid?
       525   (0.2%)           0   (0.0%)     GraphQL::Query#validation_pipeline
         1   (0.0%)           0   (0.0%)     GraphQL::Schema.subscription
    108035  (50.4%)           0   (0.0%)     GraphQL::Execution::Instrumentation.each_query_call_hooks
         3   (0.0%)           0   (0.0%)     GraphQL::Schema.interpreter?
    108037  (50.4%)           0   (0.0%)     GraphQL::Execution::Instrumentation.apply_instrumenters
         2   (0.0%)           0   (0.0%)     GraphQL::Schema.instrumenters
         2   (0.0%)           0   (0.0%)     GraphQL::Schema.mutation_execution_strategy
    108040  (50.4%)           0   (0.0%)     GraphQL::Tracing::Traceable#trace
         3   (0.0%)           0   (0.0%)     GraphQL::Execution::Multiplex.supports_multiplexing?
         1   (0.0%)           0   (0.0%)     GraphQL::Schema.tracers
    108042  (50.4%)           0   (0.0%)     GraphQL::Execution::Multiplex.run_queries
         2   (0.0%)           0   (0.0%)     GraphQL::Execution::Multiplex#initialize
         2   (0.0%)           0   (0.0%)     GraphQL::Filter#merge
         1   (0.0%)           0   (0.0%)     Enumerable#reduce
         1   (0.0%)           0   (0.0%)     GraphQL::Filter::MergedOnly.build
    108049  (50.4%)           0   (0.0%)     <main>
    108049  (50.4%)           0   (0.0%)     <main>
    108049  (50.4%)           0   (0.0%)     <top (required)>
    108049  (50.4%)           0   (0.0%)     Bundler.with_friendly_errors
    108049  (50.4%)           0   (0.0%)     block in <top (required)>
    108049  (50.4%)           0   (0.0%)     Bundler::CLI.start
    108049  (50.4%)           0   (0.0%)     Bundler::Thor::Base::ClassMethods#start
    108049  (50.4%)           0   (0.0%)     Bundler::CLI.dispatch
    108049  (50.4%)           0   (0.0%)     Bundler::Thor.dispatch
    108049  (50.4%)           0   (0.0%)     Bundler::Thor::Invocation#invoke_command
    108049  (50.4%)           0   (0.0%)     Bundler::Thor::Command#run
    108049  (50.4%)           0   (0.0%)     Bundler::CLI#exec
    108049  (50.4%)           0   (0.0%)     Bundler::CLI::Exec#run
    108049  (50.4%)           0   (0.0%)     Bundler::CLI::Exec#kernel_load
    108049  (50.4%)           0   (0.0%)     Kernel.load
    108049  (50.4%)           0   (0.0%)     <top (required)>
    108049  (50.4%)           0   (0.0%)     Kernel#load
    108049  (50.4%)           0   (0.0%)     <top (required)>
    108049  (50.4%)           0   (0.0%)     Rake::Application#standard_exception_handling
    108049  (50.4%)           0   (0.0%)     Rake::Application#run
    108049  (50.4%)           0   (0.0%)     Rake::Application#run_with_threads
    108049  (50.4%)           0   (0.0%)     Rake::Application#top_level
    108049  (50.4%)           0   (0.0%)     Rake::Application#invoke_task
    108049  (50.4%)           0   (0.0%)     Rake::Task#invoke
    108049  (50.4%)           0   (0.0%)     Monitor#synchronize
    108049  (50.4%)           0   (0.0%)     Rake::Task#invoke_with_call_chain
         1   (0.0%)           0   (0.0%)     JSON.create_pretty_state
    108049  (50.4%)           0   (0.0%)     Rake::Task#execute
    108049  (50.4%)           0   (0.0%)     block (2 levels) in <top (required)>
    108049  (50.4%)           0   (0.0%)     StackProf.run
         1   (0.0%)           0   (0.0%)     GraphQL::Execution::Interpreter::Runtime#delete_interpreter_context
    108047  (50.4%)           0   (0.0%)     GraphQL::Execution::Multiplex.run_all
      1187   (0.6%)           0   (0.0%)     GraphQL::Execution::Interpreter.finish_multiplex
         5   (0.0%)           0   (0.0%)     GraphQL::Query#initialize
    108049  (50.4%)           0   (0.0%)     GraphQLBenchmark.profile_large_introspection
    108049  (50.4%)           0   (0.0%)     GraphQL::Schema.to_json
      1185   (0.6%)           0   (0.0%)     GraphQL::Execution::Interpreter::Resolve.resolve_all
    108047  (50.4%)           0   (0.0%)     GraphQL::Schema.as_json
    108047  (50.4%)           0   (0.0%)     GraphQL::Schema.execute
    108047  (50.4%)           0   (0.0%)     GraphQL::Schema.multiplex
         3   (0.0%)           0   (0.0%)     GraphQL::Execution::Multiplex.finish_query
         3   (0.0%)           0   (0.0%)     GraphQL::Introspection::SchemaType#directives
         2   (0.0%)           0   (0.0%)     JSON.pretty_generate
         1   (0.0%)           0   (0.0%)     GraphQL::Introspection::EntryPoints#__schema
         1   (0.0%)           0   (0.0%)     GraphQL::Schema::LazyHandlingMethods#sync_lazy
    105880  (49.4%)           0   (0.0%)     GraphQL::Execution::Interpreter#evaluate
    107080  (50.0%)           0   (0.0%)     GraphQL::Execution::Multiplex.run_as_multiplex
         1   (0.0%)           0   (0.0%)     GraphQL::Analysis::AST.analyze_query
      1620   (0.8%)           0   (0.0%)     GraphQL::Schema::Warden#reachable_types
      1629   (0.8%)           0   (0.0%)     GraphQL::Introspection::SchemaType#types
         1   (0.0%)           0   (0.0%)     GraphQL::Query#analyzers
         1   (0.0%)           0   (0.0%)     GraphQL::Query#variables
         1   (0.0%)           0   (0.0%)     Enumerable#partition
         6   (0.0%)           0   (0.0%)     Hash#each_key
         1   (0.0%)           0   (0.0%)     GraphQL::Schema::Directive.locations
         1   (0.0%)           0   (0.0%)     GraphQL::Schema.orphan_types
         1   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#type_definition


Total allocated: 10557256 bytes (74435 objects)
Total retained:  0 bytes (0 objects)

allocated memory by gem
-----------------------------------
   9964425  graphql-ruby/lib
    541815  json-2.6.3
     44856  other
      6160  set

allocated memory by file
-----------------------------------
   6971672  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb
    812832  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb
    620464  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb
    541815  /Users/rmosolgo/.rbenv/versions/3.1.0/lib/ruby/gems/3.1.0/gems/json-2.6.3/lib/json/common.rb
    366192  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/field.rb
    246952  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb
    203008  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/argument.rb
    182488  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/resolve.rb
    164088  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments_cache.rb
    163968  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments.rb
     69392  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb
     45920  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb
     25256  parser.y
     20632  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb
     18160  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_interfaces.rb
     18000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/introspection/type_type.rb
     16768  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/lexer.rb
     16320  (eval)
      6160  /Users/rmosolgo/.rbenv/versions/3.1.0/lib/ruby/3.1.0/set.rb
      4688  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/definition_dependencies.rb
      3824  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fragment_spreads_are_possible.rb
      3776  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema.rb
      3240  <internal:pack>
      3160  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/visitor.rb
      2808  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/nodes.rb
      2512  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variables_are_used_and_defined.rb
      2400  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_are_defined_on_type.rb
      2096  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query.rb
      1928  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/base_visitor.rb
      1440  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/argument_names_are_unique.rb
      1433  /Users/rmosolgo/code/graphql-ruby/lib/graphql/introspection.rb
      1128  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/multiplex.rb
      1008  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language.rb
      1000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/required_arguments_are_present.rb
       928  /Users/rmosolgo/code/graphql-ruby/lib/graphql/introspection/schema_type.rb
       880  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter.rb
       880  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/enum.rb
       856  /Users/rmosolgo/code/graphql-ruby/lib/graphql/analysis/ast.rb
       696  /Users/rmosolgo/code/graphql-ruby/lib/graphql/filter.rb
       696  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/validation_context.rb
       600  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/arguments_are_defined.rb
       536  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query/context.rb
       520  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variable_usages_are_allowed.rb
       504  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/validator.rb
       496  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/literal_validator.rb
       408  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fragment_names_are_unique.rb
       400  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/argument_literals_are_compatible.rb
       368  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/operation_names_are_valid.rb
       240  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/printer.rb
       240  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_deprecation_reason.rb

allocated memory by location
-----------------------------------
   2641056  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:405
   2178960  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:510
    539670  /Users/rmosolgo/.rbenv/versions/3.1.0/lib/ruby/gems/3.1.0/gems/json-2.6.3/lib/json/common.rb:406
    501144  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb:52
    500808  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:276
    500808  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:41
    302904  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:65
    250152  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:100
    238400  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:718
    221600  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:413
    203008  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/argument.rb:295
    202104  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/field.rb:932
    182448  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/resolve.rb:38
    163968  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments.rb:43
    163968  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments_cache.rb:79
    163968  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/field.rb:839
    163968  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:181
    163968  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:202
    156160  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:174
    119320  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb:76
    113168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:178
    108720  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:768
    106568  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:338
     70680  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:333
     69120  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:759
     53000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:102
     45920  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb:13
     43048  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:124
     39040  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:452
     39040  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:198
     39040  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:199
     26000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb:42
     21992  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb:22
     21400  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb:23
     18160  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_interfaces.rb:76
     16320  (eval):3
     13720  /Users/rmosolgo/code/graphql-ruby/lib/graphql/introspection/type_type.rb:92
     13360  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/lexer.rb:1414
     10080  parser.y:109
      9400  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:171
      9120  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:41
      8504  parser.y:549
      5744  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:334
      4432  /Users/rmosolgo/.rbenv/versions/3.1.0/lib/ruby/3.1.0/set.rb:246
      4320  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:344
      4280  /Users/rmosolgo/code/graphql-ruby/lib/graphql/introspection/type_type.rb:60
      4280  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:195
      3424  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:345
      3200  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/lexer.rb:1413
      3200  <internal:pack>:145

allocated memory by class
-----------------------------------
   5127480  Hash
   3550168  Array
    591511  String
    500808  GraphQL::Execution::Interpreter::Runtime::GraphQLSelectionSet
    238480  GraphQL::Execution::Interpreter::Runtime::GraphQLResultHash
    161920  Proc
    119320  <<Unknown>>
     87856  Enumerator
     69120  GraphQL::Execution::Interpreter::Runtime::GraphQLResultArray
     39040  GraphQL::Execution::Interpreter::ArgumentValue
     39040  GraphQL::Execution::Interpreter::Arguments
     13360  GraphQL::Language::Token
      6720  GraphQL::Language::Nodes::Field
      4320  GraphQL::StaticValidation::FieldsWillMerge::Field
      1577  JSON::Ext::Generator::State
       640  GraphQL::Language::Nodes::FragmentSpread
       480  GraphQL::StaticValidation::DefinitionDependencies::NodeWithPath
       440  GraphQL::Language::Nodes::Argument
       320  GraphQL::StaticValidation::FieldsWillMerge::FragmentSpread
       320  GraphQL::StaticValidation::FragmentSpreadsArePossible::FragmentSpread
       320  Range
       312  GraphQL::Language::Nodes::FragmentDefinition
       296  GraphQL::Query
       296  GraphQL::StaticValidation::InterpreterVisitor
       288  Method
       288  Racc::CparseParams
       280  GraphQL::Query::InputValidationResult
       280  Set
       240  GraphQL::Language::Nodes::TypeName
       200  GraphQL::Schema::Warden
       136  GraphQL::Query::Context
       128  GraphQL::Execution::Interpreter::Runtime
       128  GraphQL::Query::ValidationPipeline
       120  GraphQL::Filter
       120  GraphQL::Language::Parser
       120  GraphQL::Language::Printer
       112  GraphQL::Language::Nodes::OperationDefinition
        88  GraphQL::Execution::Multiplex
        88  GraphQL::StaticValidation::ValidationContext
        72  GraphQL::Query::Variables
        72  GraphQL::StaticValidation::DefinitionDependencies::DependencyMap
        72  GraphQL::StaticValidation::LiteralValidator
        40  GraphQL::Dataloader::NullDataloader
        40  GraphQL::Execution::Interpreter
        40  GraphQL::Execution::Interpreter::ArgumentsCache
        40  GraphQL::Filter::MergedOnly
        40  GraphQL::Language::Nodes::Document
        40  GraphQL::Query::Result
        40  GraphQL::StaticValidation::Validator

allocated objects by gem
-----------------------------------
     73726  graphql-ruby/lib
       672  other
        19  json-2.6.3
        18  set

allocated objects by file
-----------------------------------
     46071  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb
      7348  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb
      5966  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb
      2982  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/resolve.rb
      2182  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/field.rb
      1952  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/argument.rb
      1801  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb
      1148  /Users/rmosolgo/code/graphql-ruby/lib/graphql/types/string.rb
       978  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments_cache.rb
       976  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments.rb
       454  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_interfaces.rb
       389  (eval)
       383  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb
       344  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb
       249  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/lexer.rb
       214  /Users/rmosolgo/code/graphql-ruby/lib/graphql/introspection/type_type.rb
       201  parser.y
        81  <internal:pack>
        79  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/visitor.rb
        72  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/definition_dependencies.rb
        66  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fragment_spreads_are_possible.rb
        60  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_are_defined_on_type.rb
        47  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/base_visitor.rb
        44  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/nodes.rb
        38  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema.rb
        32  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variables_are_used_and_defined.rb
        25  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/required_arguments_are_present.rb
        22  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query.rb
        19  /Users/rmosolgo/.rbenv/versions/3.1.0/lib/ruby/gems/3.1.0/gems/json-2.6.3/lib/json/common.rb
        18  /Users/rmosolgo/.rbenv/versions/3.1.0/lib/ruby/3.1.0/set.rb
        15  /Users/rmosolgo/code/graphql-ruby/lib/graphql/analysis/ast.rb
        15  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/argument_names_are_unique.rb
        15  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/arguments_are_defined.rb
        13  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variable_usages_are_allowed.rb
        11  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/multiplex.rb
        11  /Users/rmosolgo/code/graphql-ruby/lib/graphql/filter.rb
        10  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/argument_literals_are_compatible.rb
         7  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter.rb
         7  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/validation_context.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/printer.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query/context.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/enum.rb
