Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.423  (± 0.0%) i/s -     22.000  in   5.005526s
==================================
  Mode: wall(10)
  Samples: 214187 (2.33% miss rate)
  GC: 539 (0.25%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
       178   (0.1%)         178   (0.1%)     Hash#key?
       176   (0.1%)         176   (0.1%)     GraphQL::Schema::Object#initialize
       171   (0.1%)         166   (0.1%)     Enumerable#sort_by
       165   (0.1%)         165   (0.1%)     GraphQL::Execution::Interpreter::Arguments#empty?
       221   (0.1%)         165   (0.1%)     GraphQL::Schema::Member::HasDirectives#directives
       160   (0.1%)         160   (0.1%)     Array#include?
       235   (0.1%)         158   (0.1%)     GraphQL::Schema::Member::HasDirectives#directives
       155   (0.1%)         155   (0.1%)     GraphQL::Schema::EnumValue#value
       197   (0.1%)         153   (0.1%)     GraphQL::Schema::Warden#possible_types
       148   (0.1%)         148   (0.1%)     Kernel#freeze
      1620   (0.8%)         133   (0.1%)     GraphQL::Schema::Warden#reachable_type_set
       709   (0.3%)         133   (0.1%)     GraphQL::Query#with_prepared_ast
       205   (0.1%)         130   (0.1%)     GraphQL::Schema::Warden#enum_values
       128   (0.1%)         128   (0.1%)     Hash#values
      4201   (2.0%)         125   (0.1%)     GraphQL::Execution::Interpreter::Runtime#authorized_new
       431   (0.2%)         125   (0.1%)     GraphQL::Schema::Warden#visible?
    105867  (49.4%)         124   (0.1%)     GraphQL::Execution::Interpreter::Runtime#tap_or_each
      1443   (0.7%)         120   (0.1%)     GraphQL::Schema::Warden#read_through
       484   (0.2%)         118   (0.1%)     GraphQL::Schema::Warden#visible_argument?
       461   (0.2%)         117   (0.1%)     GraphQL::Schema::Member::HasDeprecationReason#deprecation_reason
       161   (0.1%)         117   (0.1%)     GraphQL::BaseType::ModifiesAnotherType#unwrap
       216   (0.1%)         116   (0.1%)     GraphQL::Schema::Argument#authorized_as_type?
       295   (0.1%)         116   (0.1%)     GraphQL::Schema::Argument#prepare_value
    101176  (47.2%)         115   (0.1%)     GraphQL::Execution::Interpreter::ArgumentsCache#dataload_for
       241   (0.1%)         115   (0.1%)     GraphQL::Schema::Warden#visible_and_reachable_type?
       108   (0.1%)         108   (0.1%)     String#encoding
       164   (0.1%)         108   (0.1%)     GraphQL::Execution::Interpreter::Arguments#initialize
       195   (0.1%)         107   (0.0%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResultArray#[]=
       429   (0.2%)         106   (0.0%)     GraphQL::Schema::Member::HasDeprecationReason#deprecation_reason
       105   (0.0%)         105   (0.0%)     String#encode
       104   (0.0%)         104   (0.0%)     GraphQL::Schema::NonNull#non_null?
       104   (0.0%)         104   (0.0%)     GraphQL::Schema::Member::TypeSystemHelpers#non_null?
      1092   (0.5%)         102   (0.0%)     GraphQL::Schema::Warden.visible_entry?
       102   (0.0%)         102   (0.0%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResult#initialize
       101   (0.0%)         101   (0.0%)     Array#push
       182   (0.1%)         101   (0.0%)     GraphQL::Query#fragments
       101   (0.0%)         101   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#overridden_graphql_name
       101   (0.0%)         101   (0.0%)     GraphQL::Query::Context#warden
        94   (0.0%)          94   (0.0%)     GraphQL::TypeKinds::TypeKind#wraps?
       596   (0.3%)          93   (0.0%)     GraphQL::Schema::Member::HasFields#fields
        92   (0.0%)          91   (0.0%)     GraphQL::Schema::Warden#get_type
       203   (0.1%)          91   (0.0%)     GraphQL::Filter#call
       161   (0.1%)          87   (0.0%)     Racc::Parser#_racc_do_parse_c
       548   (0.3%)          87   (0.0%)     GraphQL::Schema::Argument#deprecation_reason
        83   (0.0%)          83   (0.0%)     GraphQL::Schema::Argument#type
       428   (0.2%)          81   (0.0%)     GraphQL::Schema::Warden#visible_field?
       108   (0.1%)          80   (0.0%)     GraphQL::Schema::Member::HasValidators#validators
       178   (0.1%)          76   (0.0%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResultArray#initialize
       714   (0.3%)          76   (0.0%)     GraphQL::Schema::LazyHandlingMethods#after_any_lazies
       305   (0.1%)          75   (0.0%)     GraphQL::Schema::Argument#authorized?
       305   (0.1%)          74   (0.0%)     GraphQL::Schema::Field::ScopeExtension#after_resolve
        73   (0.0%)          73   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#default_graphql_name
       159   (0.1%)          67   (0.0%)     Hash#each_value
       108   (0.1%)          66   (0.0%)     GraphQL::Introspection::InputValueType#default_value
        69   (0.0%)          66   (0.0%)     GraphQL::Schema::Wrapper#unwrap
       116   (0.1%)          65   (0.0%)     GraphQL::Query#warden
        64   (0.0%)          64   (0.0%)     GraphQL::Schema::Object.kind
        62   (0.0%)          62   (0.0%)     Hash#initialize
       229   (0.1%)          61   (0.0%)     GraphQL::Introspection::FieldType#args
        60   (0.0%)          60   (0.0%)     (marking)
       353   (0.2%)          55   (0.0%)     GraphQL::Introspection::InputValueType#is_deprecated
        93   (0.0%)          51   (0.0%)     GraphQL::Schema::Warden.from_context
        50   (0.0%)          50   (0.0%)     Hash#initialize_copy
        47   (0.0%)          47   (0.0%)     Array#concat
        67   (0.0%)          46   (0.0%)     GraphQL::Query#arguments_cache
       147   (0.1%)          46   (0.0%)     GraphQL::BaseType::ModifiesAnotherType#unwrap
       172   (0.1%)          45   (0.0%)     Enumerable#select
        91   (0.0%)          42   (0.0%)     GraphQL::Schema::Member::HasInterfaces#interfaces
        39   (0.0%)          39   (0.0%)     GraphQL::TypeKinds::TypeKind#non_null?
        39   (0.0%)          39   (0.0%)     GraphQL::Schema::NonNull#kind
        38   (0.0%)          38   (0.0%)     String#to_s
        36   (0.0%)          36   (0.0%)     GraphQL::Execution::Interpreter::ArgumentValue#initialize
        34   (0.0%)          34   (0.0%)     GraphQL::Schema::Enum.kind
       245   (0.1%)          34   (0.0%)     GraphQL::Introspection::FieldType#is_deprecated
       150   (0.1%)          34   (0.0%)     GraphQL::Schema::Member::HasFields#get_field
        82   (0.0%)          31   (0.0%)     Method#call
       104   (0.0%)          30   (0.0%)     GraphQL::Schema::Member::HasArguments#validate_directive_argument
        29   (0.0%)          29   (0.0%)     GraphQL::Types::Boolean.coerce_result
       184   (0.1%)          28   (0.0%)     GraphQL::Introspection::TypeType#fields
        51   (0.0%)          27   (0.0%)     GraphQL::Schema.visible?
       175   (0.1%)          27   (0.0%)     GraphQL::Filter::MergedOnly#call
      2740   (1.3%)          26   (0.0%)     GraphQL::Schema::FieldExtension#resolve
        24   (0.0%)          24   (0.0%)     GraphQL::TypeKinds::TypeKind#input_object?
        24   (0.0%)          24   (0.0%)     GraphQL::Schema::Argument#description
        61   (0.0%)          23   (0.0%)     GraphQL::Introspection::TypeType#interfaces
        22   (0.0%)          22   (0.0%)     GraphQL::Types::Boolean.coerce_input
        22   (0.0%)          22   (0.0%)     Module#ancestors
        21   (0.0%)          21   (0.0%)     Array#shift
       137   (0.1%)          21   (0.0%)     Enumerator#each
        21   (0.0%)          21   (0.0%)     GraphQL::Schema::Field#description
        21   (0.0%)          21   (0.0%)     Kernel#frozen?
        21   (0.0%)          20   (0.0%)     GraphQL::Schema::Argument#default_value?
        19   (0.0%)          19   (0.0%)     GraphQL::Query#interpreter?
        19   (0.0%)          19   (0.0%)     GraphQL::Schema::NonNull#graphql_name
        54   (0.0%)          19   (0.0%)     GraphQL::Language::Parser#make_node
        21   (0.0%)          19   (0.0%)     Set#include?
        18   (0.0%)          18   (0.0%)     GraphQL::Execution::Interpreter::ArgumentValue#default_used?
        17   (0.0%)          17   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#authorized?
        17   (0.0%)          17   (0.0%)     GraphQL::TypeKinds::TypeKind#list?
       683   (0.3%)          17   (0.0%)     GraphQL::Schema::Warden#fields
        16   (0.0%)          16   (0.0%)     Hash#size
        46   (0.0%)          16   (0.0%)     GraphQL::Language::Lexer.emit
        27   (0.0%)          16   (0.0%)     GraphQL::Schema::Member::HasFields#visible_interface_implementation?
        32   (0.0%)          15   (0.0%)     GraphQL::Schema::Warden#referenced?
        14   (0.0%)          14   (0.0%)     Integer#ord
        14   (0.0%)          14   (0.0%)     GraphQL::Schema::List#kind
        14   (0.0%)          14   (0.0%)     GraphQL::Query::Context#dataloader
        14   (0.0%)          13   (0.0%)     GraphQL::Introspection::TypeType#input_fields
        13   (0.0%)          12   (0.0%)     Set#add
        76   (0.0%)          12   (0.0%)     GraphQL::Schema::Warden#interfaces
        12   (0.0%)          12   (0.0%)     GraphQL::Schema::LateBoundType#unwrap
       326   (0.2%)          11   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_field
       305   (0.1%)          11   (0.0%)     GraphQL::StaticValidation::FieldsAreDefinedOnType#on_field
        11   (0.0%)          11   (0.0%)     GraphQL::Schema::Field#visible?
        10   (0.0%)          10   (0.0%)     Array#pack
        10   (0.0%)          10   (0.0%)     GraphQL::Schema::Member::HasFields#own_fields
        11   (0.0%)          10   (0.0%)     GraphQL::Language::Parser#next_token
        35   (0.0%)           9   (0.0%)     GraphQL::Introspection::TypeType#enum_values
       109   (0.1%)           9   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#find_fields_and_fragments
       112   (0.1%)           9   (0.0%)     GraphQL::Schema.get_field
        11   (0.0%)           9   (0.0%)     GraphQL::StaticValidation::FieldsHaveAppropriateSelections#validate_field_selections
       213   (0.1%)           9   (0.0%)     GraphQL::Schema::Warden#initialize
        17   (0.0%)           9   (0.0%)     GraphQL::Language::Nodes::AbstractNode#initialize
        43   (0.0%)           9   (0.0%)     Set#add?
        14   (0.0%)           8   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#introspection?
        29   (0.0%)           8   (0.0%)     GraphQL::Schema::Enum.enum_values
         8   (0.0%)           8   (0.0%)     GraphQL::TypeKinds::TypeKind#interface?
        12   (0.0%)           8   (0.0%)     GraphQL::Schema::Member::HasDirectives#directives
       263   (0.1%)           7   (0.0%)     GraphQL::StaticValidation::FieldsHaveAppropriateSelections#on_field
         7   (0.0%)           7   (0.0%)     GraphQL::TypeKinds::TypeKind#input?
        20   (0.0%)           7   (0.0%)     GraphQL::Schema::FindInheritedValue#find_inherited_value
         8   (0.0%)           7   (0.0%)     GraphQL::Query::NullContext.warden
        29   (0.0%)           7   (0.0%)     Array#all?
       362   (0.2%)           7   (0.0%)     GraphQL::Language::Visitor#on_abstract_node
         7   (0.0%)           7   (0.0%)     GraphQL::Language::Nodes::Field#initialize_node
         6   (0.0%)           6   (0.0%)     JSON::Ext::Generator::State#generate
       640   (0.3%)           6   (0.0%)     GraphQL::Schema::Object.fields
        86   (0.0%)           6   (0.0%)     GraphQL::Schema::Warden#get_field
        11   (0.0%)           6   (0.0%)     GraphQL::Language::Token#initialize
         6   (0.0%)           6   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#introspection
         6   (0.0%)           6   (0.0%)     Module#<=
        27   (0.0%)           6   (0.0%)     GraphQL::Schema::Member::HasDeprecationReason#deprecation_reason
       398   (0.2%)           6   (0.0%)     GraphQL::StaticValidation::FragmentSpreadsArePossible#on_document
        36   (0.0%)           5   (0.0%)     GraphQL::Schema::Warden#visible_type?
       357   (0.2%)           5   (0.0%)     block (2 levels) in <module:UniqueDirectivesPerLocation>
         5   (0.0%)           5   (0.0%)     Kernel#itself
         7   (0.0%)           5   (0.0%)     Array#select
         5   (0.0%)           5   (0.0%)     GraphQL::Schema::Member::TypeSystemHelpers#non_null?
         5   (0.0%)           5   (0.0%)     String#-@
         5   (0.0%)           5   (0.0%)     GraphQL::Schema::Argument#visible?
         4   (0.0%)           4   (0.0%)     GraphQL::TypeKinds::TypeKind#object?
         8   (0.0%)           4   (0.0%)     GraphQL::Introspection::TypeType#possible_types
       373   (0.2%)           4   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#on_document
       117   (0.1%)           4   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#fields_and_fragments_from_selection
        40   (0.0%)           4   (0.0%)     GraphQL::Language::Parser#_reduce_37
       562   (0.3%)           4   (0.0%)     (garbage collection)
       304   (0.1%)           4   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#on_field
         4   (0.0%)           4   (0.0%)     GraphQL::Schema::Warden#root_type?
         4   (0.0%)           4   (0.0%)     Array#[]
         4   (0.0%)           4   (0.0%)     GraphQL::TypeKinds::TypeKind#fields?
         6   (0.0%)           4   (0.0%)     GraphQL::Execution::Interpreter::Runtime#initialize
        19   (0.0%)           4   (0.0%)     GraphQL::StaticValidation::ArgumentLiteralsAreCompatible#on_argument
         4   (0.0%)           4   (0.0%)     GraphQL::Schema::Member::HasInterfaces#own_interface_type_memberships
         8   (0.0%)           4   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#resolve_dependencies
