Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.273  (± 0.0%) i/s -     22.000  in   5.151236s
==================================
  Mode: wall(10)
  Samples: 180758 (2.08% miss rate)
  GC: 866 (0.48%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
       585   (0.3%)         171   (0.1%)     GraphQL::Schema::Warden#visible_argument?
       168   (0.1%)         168   (0.1%)     GraphQL::Schema::Scalar.kind
       312   (0.2%)         166   (0.1%)     GraphQL::Schema::Warden#visible_and_reachable_type?
       155   (0.1%)         155   (0.1%)     Kernel#block_given?
       145   (0.1%)         145   (0.1%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResult#initialize
       181   (0.1%)         143   (0.1%)     Enumerable#sort_by
       141   (0.1%)         141   (0.1%)     GraphQL::Execution::Interpreter::Arguments#empty?
       181   (0.1%)         139   (0.1%)     GraphQL::Execution::Interpreter::Arguments#initialize
       268   (0.1%)         135   (0.1%)     GraphQL::Schema::Argument#authorized_as_type?
       271   (0.1%)         131   (0.1%)     GraphQL::Types::String.coerce_result
       623   (0.3%)         131   (0.1%)     GraphQL::Schema::Warden#arguments
       126   (0.1%)         126   (0.1%)     Array#include?
       199   (0.1%)         124   (0.1%)     GraphQL::Schema::Member::HasDirectives#directives
       257   (0.1%)         119   (0.1%)     GraphQL::Schema::Warden.from_context
      3665   (2.0%)         117   (0.1%)     GraphQL::Execution::Interpreter::Runtime#authorized_new
       209   (0.1%)         115   (0.1%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResultArray#[]=
       358   (0.2%)         114   (0.1%)     GraphQL::Schema::Member::HasDeprecationReason#deprecation_reason
       446   (0.2%)         113   (0.1%)     GraphQL::Schema::Member::HasDeprecationReason#deprecation_reason
     90475  (50.1%)         112   (0.1%)     GraphQL::Execution::Interpreter::Runtime#tap_or_each
       111   (0.1%)         111   (0.1%)     Hash#key?
       164   (0.1%)         108   (0.1%)     GraphQL::Schema::Member::HasDirectives#directives
       105   (0.1%)         105   (0.1%)     GraphQL::Schema::NonNull#non_null?
       576   (0.3%)         103   (0.1%)     GraphQL::Query#with_prepared_ast
        98   (0.1%)          98   (0.1%)     Kernel#freeze
      1370   (0.8%)          97   (0.1%)     GraphQL::Schema::Warden#read_through
