Warming up --------------------------------------
Querying for 1000 objects
                         1.000  i/100ms
Calculating -------------------------------------
Querying for 1000 objects
                          3.335  (± 0.0%) i/s -     17.000  in   5.101803s
==================================
  Mode: wall(1)
  Samples: 635355 (45.11% miss rate)
  GC: 4965 (0.78%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
       858   (0.1%)         858   (0.1%)     Hash#[]
    332064  (52.3%)         847   (0.1%)     GraphQL::Dataloader::NullDataloader#append_job
     95526  (15.0%)         816   (0.1%)     GraphQL::Execution::Interpreter::ArgumentsCache#dataload_for
       780   (0.1%)         780   (0.1%)     GraphQL::Schema::Field#extras
      3210   (0.5%)         778   (0.1%)     GraphQL::Schema::Object.authorized_new
       766   (0.1%)         766   (0.1%)     GraphQL::Query::Context#dataloader
       759   (0.1%)         759   (0.1%)     GraphQL::Schema::Argument#default_value?
       743   (0.1%)         743   (0.1%)     GraphQL::Types::Boolean.coerce_result
      3387   (0.5%)         717   (0.1%)     GraphQL::Execution::Interpreter::Runtime#directives_include?
      1250   (0.2%)         716   (0.1%)     GraphQL::Types::Int.coerce_result
       695   (0.1%)         695   (0.1%)     String#to_s
      1081   (0.2%)         686   (0.1%)     GraphQL::Execution::Interpreter::ArgumentsCache.prepare_args_hash
      2170   (0.3%)         679   (0.1%)     GraphQL::Schema::Member::HasArguments#validate_directive_argument
      1532   (0.2%)         661   (0.1%)     GraphQL::Execution::Interpreter::ArgumentsCache#fetch
       642   (0.1%)         642   (0.1%)     Hash#any?
       640   (0.1%)         640   (0.1%)     String#encoding
       546   (0.1%)         546   (0.1%)     Array#push
       534   (0.1%)         534   (0.1%)     Integer#to_i
      1342   (0.2%)         483   (0.1%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResultArray#initialize
     67999  (10.7%)         448   (0.1%)     GraphQL::Execution::Errors#with_error_handling
       434   (0.1%)         434   (0.1%)     GraphQL::Query#interpreter?
       392   (0.1%)         392   (0.1%)     Hash#values
    322596  (50.8%)         386   (0.1%)     GraphQL::Tracing::Traceable#trace
       651   (0.1%)         380   (0.1%)     GraphQL::Query#arguments_cache
       379   (0.1%)         379   (0.1%)     Array#concat
       355   (0.1%)         355   (0.1%)     GraphQL::Schema::Member::HasArguments#arguments_statically_coercible?
      3605   (0.6%)         334   (0.1%)     GraphQL::Schema::LazyHandlingMethods#after_any_lazies
       333   (0.1%)         333   (0.1%)     Array#shift
       327   (0.1%)         327   (0.1%)     GraphQL::Execution::Interpreter::Arguments#empty?
      2765   (0.4%)         326   (0.1%)     GraphQL::Execution::Interpreter::Runtime#arguments
       301   (0.0%)         301   (0.0%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResult#initialize
      2084   (0.3%)         251   (0.0%)     GraphQL::Query#arguments_for
      1028   (0.2%)         240   (0.0%)     Array#all?
       456   (0.1%)         189   (0.0%)     GraphQL::Schema::Directive::Skip.static_include?
       179   (0.0%)         179   (0.0%)     Hash#initialize_copy
       165   (0.0%)         165   (0.0%)     GraphQL::Schema::List#kind
