Warming up --------------------------------------
Querying for 1000 objects
                         1.000  i/100ms
Calculating -------------------------------------
Querying for 1000 objects
                          3.335  (± 0.0%) i/s -     17.000  in   5.101803s
==================================
  Mode: wall(1)
  Samples: 635355 (45.11% miss rate)
  GC: 4965 (0.78%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
         3   (0.0%)           0   (0.0%)     GraphQL::Schema.directives
        12   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::NoDefinitionsArePresent#initialize
        12   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::DirectivesAreDefined#initialize
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::FragmentNamesAreUnique#initialize
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::FragmentSpreadsArePossible#initialize
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#initialize
       402   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::Validator#validate
         3   (0.0%)           0   (0.0%)     GraphQL::Schema.validate_max_errors
       406   (0.1%)           0   (0.0%)     GraphQL::Query::ValidationPipeline#ensure_has_validated
         1   (0.0%)           0   (0.0%)     GraphQL::Schema.validate_timeout
         1   (0.0%)           0   (0.0%)     GraphQL::Schema.subscription
       414   (0.1%)           0   (0.0%)     GraphQL::Query#valid?
         8   (0.0%)           0   (0.0%)     GraphQL::Query#validation_pipeline
    332521  (52.3%)           0   (0.0%)     GraphQL::Execution::Instrumentation.call_hooks
    332521  (52.3%)           0   (0.0%)     GraphQL::Execution::Instrumentation.each_query_call_hooks
        12   (0.0%)           0   (0.0%)     GraphQL::Execution::Multiplex.finish_query
    332525  (52.3%)           0   (0.0%)     GraphQL::Execution::Instrumentation.apply_instrumenters
    332526  (52.3%)           0   (0.0%)     GraphQL::Tracing::Traceable#trace
         1   (0.0%)           0   (0.0%)     GraphQL::Execution::Multiplex.supports_multiplexing?
         1   (0.0%)           0   (0.0%)     GraphQL::Dataloader#initialize
         5   (0.0%)           0   (0.0%)     GraphQL::Execution::Multiplex#initialize
         2   (0.0%)           0   (0.0%)     GraphQL::Query#merge_filters
         4   (0.0%)           0   (0.0%)     GraphQL::Schema.tracers
    332543  (52.3%)           0   (0.0%)     <main>
    332543  (52.3%)           0   (0.0%)     <main>
    332543  (52.3%)           0   (0.0%)     <top (required)>
    332543  (52.3%)           0   (0.0%)     Bundler.with_friendly_errors
    332543  (52.3%)           0   (0.0%)     block in <top (required)>
    332543  (52.3%)           0   (0.0%)     Bundler::CLI.start
    332543  (52.3%)           0   (0.0%)     Bundler::Thor::Base::ClassMethods#start
    332543  (52.3%)           0   (0.0%)     Bundler::CLI.dispatch
    332543  (52.3%)           0   (0.0%)     Bundler::Thor.dispatch
    332543  (52.3%)           0   (0.0%)     Bundler::Thor::Invocation#invoke_command
    332543  (52.3%)           0   (0.0%)     Bundler::Thor::Command#run
      5006   (0.8%)           0   (0.0%)     (garbage collection)
    332543  (52.3%)           0   (0.0%)     Bundler::CLI#exec
    332543  (52.3%)           0   (0.0%)     Bundler::CLI::Exec#run
    332543  (52.3%)           0   (0.0%)     Bundler::CLI::Exec#kernel_load
    332543  (52.3%)           0   (0.0%)     Kernel.load
    332543  (52.3%)           0   (0.0%)     <top (required)>
    332543  (52.3%)           0   (0.0%)     Kernel#load
    332543  (52.3%)           0   (0.0%)     <top (required)>
    332543  (52.3%)           0   (0.0%)     Rake::Application#standard_exception_handling
    332543  (52.3%)           0   (0.0%)     Rake::Application#run
    332543  (52.3%)           0   (0.0%)     Rake::Application#run_with_threads
    332543  (52.3%)           0   (0.0%)     Rake::Application#top_level
    332543  (52.3%)           0   (0.0%)     Rake::Application#invoke_task
    332543  (52.3%)           0   (0.0%)     Rake::Task#invoke
    332543  (52.3%)           0   (0.0%)     Monitor#synchronize
    332543  (52.3%)           0   (0.0%)     Rake::Task#invoke_with_call_chain
    332543  (52.3%)           0   (0.0%)     Rake::Task#execute
    332543  (52.3%)           0   (0.0%)     block (2 levels) in <top (required)>
         5   (0.0%)           0   (0.0%)     GraphQL::Execution::Interpreter::Runtime#delete_interpreter_context
         1   (0.0%)           0   (0.0%)     GraphQL::Query#result
    332543  (52.3%)           0   (0.0%)     StackProf.run
      9850   (1.6%)           0   (0.0%)     GraphQL::Execution::Interpreter.finish_multiplex
         2   (0.0%)           0   (0.0%)     GraphQL::Execution::Interpreter.begin_multiplex
    332543  (52.3%)           0   (0.0%)     GraphQLBenchmark.profile_large_result
         1   (0.0%)           0   (0.0%)     GraphQL::Analysis::AST.analysis_errors
         2   (0.0%)           0   (0.0%)     GraphQL::Query#variables
    332543  (52.3%)           0   (0.0%)     GraphQL::Schema.execute
         2   (0.0%)           0   (0.0%)     Enumerable#each_with_object
    332543  (52.3%)           0   (0.0%)     GraphQL::Schema.multiplex
Total allocated: 16748432 bytes (105490 objects)
Total retained:  0 bytes (0 objects)

allocated memory by gem
-----------------------------------
  16748264  graphql-ruby/lib
       168  other

allocated memory by file
-----------------------------------
  12024024  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb
   3811728  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb
    504168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/field.rb
    208208  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb
    120080  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/resolve.rb
     40000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/directive/skip.rb
      7736  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb
      7320  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb
      3448  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb
      3104  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema.rb
      1928  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query.rb
      1768  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variables_are_used_and_defined.rb
      1240  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/definition_dependencies.rb
      1168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/required_arguments_are_present.rb
      1128  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/multiplex.rb
       992  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments_cache.rb
       880  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter.rb
       856  /Users/rmosolgo/code/graphql-ruby/lib/graphql/analysis/ast.rb
       776  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/validation_context.rb
       720  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/visitor.rb
       704  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query/context.rb
       696  /Users/rmosolgo/code/graphql-ruby/lib/graphql/filter.rb
       512  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/validator.rb
       496  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/literal_validator.rb
       480  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/base_visitor.rb
       448  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variable_usages_are_allowed.rb
       440  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_are_defined_on_type.rb
       368  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/operation_names_are_valid.rb
       288  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/argument_names_are_unique.rb
       288  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variable_names_are_unique.rb
       248  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query/variables.rb
       208  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/argument.rb
       168  /Users/rmosolgo/code/graphql-ruby/benchmark/run.rb
       168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments.rb
       168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/unique_directives_per_location.rb
       160  /Users/rmosolgo/code/graphql-ruby/lib/graphql/dataloader.rb
       160  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_interfaces.rb
       160  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fragment_names_are_unique.rb
       120  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query/validation_pipeline.rb
       120  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/find_inherited_value.rb
       120  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/directives_are_defined.rb
        80  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/instrumentation.rb
        80  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fragment_spreads_are_possible.rb
        80  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/no_definitions_are_present.rb
        40  /Users/rmosolgo/code/graphql-ruby/lib/graphql/argument.rb
        40  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/validates_input.rb
        40  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/scalar.rb
        40  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/arguments_are_defined.rb
        40  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/directives_are_in_valid_locations.rb
        40  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fragments_are_finite.rb

allocated memory by location
-----------------------------------
   6040000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:768
   2017848  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:100
   1680168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:510
    928168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:276
    928168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:41
    928168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:65
    672168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:202
    640160  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:174
    586632  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:102
    504168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/field.rb:930
    400040  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:405
    240080  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:759
    200040  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:413
    168168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb:52
    160168  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:181
    160040  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:198
    160040  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:199
    120040  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/resolve.rb:38
     80000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:718
     40040  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb:76
     40000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/directive/skip.rb:20
     10632  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:124
      7320  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb:42
      5880  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:337
      1536  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:334
      1520  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:177
      1344  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:171
      1008  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema.rb:1658
       800  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:143
       792  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:344
       680  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/visitor.rb:125
       568  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variables_are_used_and_defined.rb:28
       504  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/multiplex.rb:49
       504  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:110
       440  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_are_defined_on_type.rb:7
       440  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:343
       416  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query/context.rb:150
       416  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema.rb:1773
       376  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/validation_context.rb:29
       368  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/required_arguments_are_present.rb:23
       336  /Users/rmosolgo/code/graphql-ruby/lib/graphql/filter.rb:21
       328  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query.rb:384
       320  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema.rb:1772
       320  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:333
       304  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query.rb:93
       296  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter.rb:69
       296  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query.rb:435
       288  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/argument_names_are_unique.rb:20
       288  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/operation_names_are_valid.rb:7
       288  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variable_names_are_unique.rb:8

allocated memory by class
-----------------------------------
   7575552  Array
   7076800  Hash
    928168  GraphQL::Execution::Interpreter::Runtime::GraphQLSelectionSet
    643520  Proc
    240080  GraphQL::Execution::Interpreter::Runtime::GraphQLResultArray
    160040  GraphQL::Execution::Interpreter::Arguments
     80080  GraphQL::Execution::Interpreter::Runtime::GraphQLResultHash
     40000  GraphQLBenchmark::ProfileLargeResult::FooType
       816  Enumerator
       792  GraphQL::StaticValidation::FieldsWillMerge::Field
       296  GraphQL::Query
       296  GraphQL::StaticValidation::InterpreterVisitor
       288  Method
       160  GraphQL::Query::InputValidationResult
       160  GraphQL::Schema::Warden
       136  GraphQL::Query::Context
       128  GraphQL::Execution::Interpreter::Runtime
       128  GraphQL::Query::ValidationPipeline
       120  GraphQL::Filter
        96  GraphQL::StaticValidation::ValidationContext
        88  GraphQL::Execution::Multiplex
        72  GraphQL::Query::Variables
        72  GraphQL::StaticValidation::DefinitionDependencies::DependencyMap
        72  GraphQL::StaticValidation::LiteralValidator
        72  GraphQL::StaticValidation::VariablesAreUsedAndDefined::VariableUsage
        40  GraphQL::Dataloader::NullDataloader
        40  GraphQL::Execution::Interpreter
        40  GraphQL::Execution::Interpreter::ArgumentValue
        40  GraphQL::Execution::Interpreter::ArgumentsCache
        40  GraphQL::Filter::MergedOnly
        40  GraphQL::Query::Result
        40  GraphQL::StaticValidation::DefinitionDependencies::NodeWithPath
        40  GraphQL::StaticValidation::Validator
        40  GraphQLBenchmark::ProfileLargeResult::QueryType
        40  String

allocated objects by gem
-----------------------------------
    105489  graphql-ruby/lib
         1  other

allocated objects by file
-----------------------------------
     62021  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb
     36024  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb
      3001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/field.rb
      2002  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb
      1002  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/resolve.rb
      1000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/directive/skip.rb
        48  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb
        48  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb
        39  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb
        34  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema.rb
        26  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/required_arguments_are_present.rb
        22  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query.rb
        22  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/definition_dependencies.rb
        18  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/visitor.rb
        18  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variables_are_used_and_defined.rb
        15  /Users/rmosolgo/code/graphql-ruby/lib/graphql/analysis/ast.rb
        12  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/base_visitor.rb
        11  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/multiplex.rb
        11  /Users/rmosolgo/code/graphql-ruby/lib/graphql/filter.rb
        11  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_are_defined_on_type.rb
         9  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments_cache.rb
         9  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/validation_context.rb
         8  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variable_usages_are_allowed.rb
         7  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter.rb
         7  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query/context.rb
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/literal_validator.rb
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/operation_names_are_valid.rb
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/validator.rb
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_interfaces.rb
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/dataloader.rb
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query/validation_pipeline.rb
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query/variables.rb
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/find_inherited_value.rb
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/argument_names_are_unique.rb
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/directives_are_defined.rb
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fragment_names_are_unique.rb
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variable_names_are_unique.rb
         2  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/instrumentation.rb
         2  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/argument.rb
         2  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fragment_spreads_are_possible.rb
         2  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/no_definitions_are_present.rb
         1  /Users/rmosolgo/code/graphql-ruby/benchmark/run.rb
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/argument.rb
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/arguments.rb
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/validates_input.rb
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/scalar.rb
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/arguments_are_defined.rb
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/directives_are_in_valid_locations.rb
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fragments_are_finite.rb
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fragments_are_used.rb

allocated objects by location
-----------------------------------
     31000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:768
     12011  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:100
     10001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:405
     10001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:510
      8002  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:174
      4001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:181
      4001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:198
      4001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:199
      4001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:202
      3001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:102
      3001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:759
      3001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/field.rb:930
      1001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/resolve.rb:38
      1001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:276
      1001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:41
      1001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:413
      1001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:65
      1001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb:52
      1001  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/object.rb:76
      1000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:718
      1000  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/directive/skip.rb:20
        39  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_fields.rb:42
        32  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:337
        17  /Users/rmosolgo/code/graphql-ruby/lib/graphql/language/visitor.rb:125
        13  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:334
        11  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_are_defined_on_type.rb:7
        11  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:343
        11  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:344
        10  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/warden.rb:177
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema.rb:1658
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema.rb:1772
         6  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/required_arguments_are_present.rb:23
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/required_arguments_are_present.rb:21
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/required_arguments_are_present.rb:22
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/required_arguments_are_present.rb:24
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/required_arguments_are_present.rb:26
         5  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/variables_are_used_and_defined.rb:28
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/analysis/ast.rb:87
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:171
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/filter.rb:17
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema.rb:1681
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema.rb:1773
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_arguments.rb:143
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/member/has_interfaces.rb:76
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/definition_dependencies.rb:129
         4  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/rules/fields_will_merge.rb:333
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/interpreter/runtime.rb:164
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/execution/multiplex.rb:49
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/query/context.rb:150
         3  /Users/rmosolgo/code/graphql-ruby/lib/graphql/schema/find_inherited_value.rb:33

allocated objects by class
-----------------------------------
     51276  Array
     36116  Hash
      8044  Proc
      4001  GraphQL::Execution::Interpreter::Arguments
      3001  GraphQL::Execution::Interpreter::Runtime::GraphQLResultArray
      1001  GraphQL::Execution::Interpreter::Runtime::GraphQLResultHash
      1001  GraphQL::Execution::Interpreter::Runtime::GraphQLSelectionSet
      1000  GraphQLBenchmark::ProfileLargeResult::FooType
        11  GraphQL::StaticValidation::FieldsWillMerge::Field
         6  Enumerator
         4  GraphQL::Query::InputValidationResult
         4  Method
         3  GraphQL::Filter
         1  GraphQL::Dataloader::NullDataloader
         1  GraphQL::Execution::Interpreter
         1  GraphQL::Execution::Interpreter::ArgumentValue
         1  GraphQL::Execution::Interpreter::ArgumentsCache
         1  GraphQL::Execution::Interpreter::Runtime
         1  GraphQL::Execution::Multiplex
         1  GraphQL::Filter::MergedOnly
         1  GraphQL::Query
         1  GraphQL::Query::Context
         1  GraphQL::Query::Result
         1  GraphQL::Query::ValidationPipeline
         1  GraphQL::Query::Variables
         1  GraphQL::Schema::Warden
         1  GraphQL::StaticValidation::DefinitionDependencies::DependencyMap
         1  GraphQL::StaticValidation::DefinitionDependencies::NodeWithPath
         1  GraphQL::StaticValidation::InterpreterVisitor
         1  GraphQL::StaticValidation::LiteralValidator
         1  GraphQL::StaticValidation::ValidationContext
         1  GraphQL::StaticValidation::Validator
         1  GraphQL::StaticValidation::VariablesAreUsedAndDefined::VariableUsage
         1  GraphQLBenchmark::ProfileLargeResult::QueryType
         1  String

retained memory by gem
-----------------------------------
NO DATA

retained memory by file
-----------------------------------
NO DATA

retained memory by location
-----------------------------------
NO DATA

retained memory by class
-----------------------------------
NO DATA

retained objects by gem
-----------------------------------
NO DATA

retained objects by file
-----------------------------------
NO DATA

retained objects by location
-----------------------------------
NO DATA

retained objects by class
-----------------------------------
NO DATA


Allocated String Report
-----------------------------------
         1  "query"
         1  /Users/rmosolgo/code/graphql-ruby/lib/graphql/static_validation/base_visitor.rb:75

